2017-04-20 19:13:03.453 [main] INFO  io.micheal.debatescout.Main - 2503 tournaments queued from JOT
2017-04-20 19:13:33.631 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 West Hardin Teaching Tournament prelims is up to date.
2017-04-20 19:13:33.632 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 GGSA Parli @ Lowell
2017-04-20 19:13:33.726 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Americas High School Tournament
2017-04-20 19:13:34.080 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Americas High School Tournament prelims is up to date.
2017-04-20 19:13:34.080 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Bellaire High School Tournament
2017-04-20 19:13:34.997 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Bellaire High School Tournament prelims is up to date.
2017-04-20 19:13:35.593 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Bellaire High School Tournament prelims is up to date.
2017-04-20 19:13:35.594 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 NNFL #2 @ Reno
2017-04-20 19:13:35.918 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 NNFL #2 @ Reno prelims is up to date.
2017-04-20 19:13:36.112 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 NNFL #2 @ Reno prelims is up to date.
2017-04-20 19:13:36.112 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Reagan HS Tournament
2017-04-20 19:13:36.207 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Arlington TFA Tournament
2017-04-20 19:13:36.535 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Arlington TFA Tournament prelims is up to date.
2017-04-20 19:13:36.739 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Arlington TFA Tournament prelims is up to date.
2017-04-20 19:13:36.739 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Bob Jones Academy Tournament
2017-04-20 19:13:37.029 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Bob Jones Academy Tournament prelims is up to date.
2017-04-20 19:13:37.275 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Bob Jones Academy Tournament prelims is up to date.
2017-04-20 19:13:37.275 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Midland Lee High School Tournament
2017-04-20 19:13:37.569 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Midland Lee High School Tournament prelims is up to date.
2017-04-20 19:13:37.569 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 North Lamar City of Lights Fall
2017-04-20 19:13:37.924 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 North Lamar City of Lights Fall prelims is up to date.
2017-04-20 19:13:38.127 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 North Lamar City of Lights Fall prelims is up to date.
2017-04-20 19:13:38.127 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 PBCFL #2 @ PB Central (Palm Beach Central)
2017-04-20 19:13:38.434 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 PBCFL #2 @ PB Central (Palm Beach Central) prelims is up to date.
2017-04-20 19:13:38.435 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 PSJA Southwest High School Tournament
2017-04-20 19:13:38.766 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 PSJA Southwest High School Tournament prelims is up to date.
2017-04-20 19:13:38.977 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 PSJA Southwest High School Tournament prelims is up to date.
2017-04-20 19:13:38.978 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 SDIVSL #1-C IEs @ Carlsbad High School
